Tautulli API Command;Theoretical Endpoint;Method?;Description
undelete_library;/Tautulli/Restore/Library;POST;Restore a deleted library section to Tautulli.
undelete_user;/Tautulli/Restore/User;POST;Restore a deleted user to Tautulli.
search;/Tautulli/Search;GET;Get search results from the PMS.
logout_user_session;/Tautulli/Session/Logout;POST;Logout Tautulli user sessions.
terminate_session;/Tautulli/Session/Stop;POST;Stop a streaming session.
get_item_watch_time_stats;/Tautulli/Stats;GET;Get the watch time stats for the media item.
get_home_stats;/Tautulli/Stats/HomepageWatch;GET;Get the homepage watch statistics.
get_library_user_stats;/Tautulli/Stats/Library/User;GET;Get a library's user statistics.
get_library_watch_time_stats;/Tautulli/Stats/Library/Watch Time;GET;Get a library's watch time statistics.
get_plays_by_date;/Tautulli/Stats/Plays/Date;GET;Get graph data by date.
get_plays_by_dayofweek;/Tautulli/Stats/Plays/Days Of Week;GET;Get graph data by day of the week.
get_plays_by_hourofday;/Tautulli/Stats/Plays/Hour of Day;GET;Get graph data by hour of the day.
get_plays_per_month;/Tautulli/Stats/Plays/Month;GET;Get graph data by month.
get_plays_by_source_resolution;/Tautulli/Stats/Plays/SourceRes;GET;Get graph data by source resolution.
get_plays_by_stream_type;/Tautulli/Stats/Plays/Stream Type;GET;Get graph data by stream type by date.
get_plays_by_stream_resolution;/Tautulli/Stats/Plays/StreamRes;GET;Get graph data by stream resolution.
get_plays_by_top_10_platforms;/Tautulli/Stats/Plays/Top 10 Platforms;GET;Get graph data by top 10 platforms.
get_plays_by_top_10_users;/Tautulli/Stats/Plays/Top 10 Users;GET;Get graph data by top 10 users.
get_recently_added;/Tautulli/Stats/RecentlyAdded;GET;Get all items that where recently added to plex.
get_stream_type_by_top_10_platforms;/Tautulli/Stats/StreamType/Top 10 Platforms;GET;Get graph data by stream type by top 10 platforms.
get_stream_type_by_top_10_users;/Tautulli/Stats/StreamType/Top 10 Users;GET;Get graph data by stream type by top 10 users.
get_user_watch_time_stats;/Tautulli/Stats/User;GET;Get a user's watch time statistics.
get_item_user_stats;/Tautulli/Stats/User/Item;GET;Get the user stats for the media item.
get_user_player_stats;/Tautulli/Stats/User/Player;GET;Get a user's player statistics.
get_stream_data;/Tautulli/Stream;GET;Get the stream details from history or current stream.
delete_synced_item;/Tautulli/Sync;DELETE;Delete a synced item from a device.
get_synced_items;/Tautulli/Sync;GET;Get a list of synced items on the PMS.
get_date_formats;/Tautulli/Time Format;GET;Get the date and time formats used by Tautulli.
update;/Tautulli/Update;POST;Update Tautulli.
update_check;/Tautulli/Update;GET;Check for Tautulli updates.
delete_temp_sessions;/TempSession;DELETE;Flush out all of the temporary sessions in the database.
delete_user;/User;DELETE;Delete a user from Tautulli. Also erases all history for the user.
edit_user;/User;POST;Update a user on Tautulli.
get_user;/User;GET;Get a user's details.
get_user_ips;/User/IP;GET;Get the data on Tautulli users IP table.
get_geoip_lookup;/User/IP Lookup;GET;Get the geolocation info for an IP address.
get_whois_lookup;/User/IP Lookup/whois;GET;Get the connection info for an IP address.
get_users;/User/List;GET;Get a list of all users that have access to your server.
refresh_users_list;/User/List/Refresh;GET;Refresh the Tautulli users list.
get_user_logins;/User/Logins;GET;Get the data on Tautulli user login table.
get_user_names;/User/Names;GET;Get a list of all user and user ids.
get_users_table;/User/Table;GET;Get the data on Tautulli users table.
